Goroka Airport,GKA
Lumbo Airport,\N
Maputo Airport,MPM
Mueda Airport,\N
Mocímboa da Praia Airport,MZB
Marrupa Airport,\N
Nacala Airport,MNC
Nampula Airport,APL
Pemba Airport,POL
Quelimane Airport,UEL
Songo Airport,\N
Chingozi Airport,TET
Ulongwe Airport,\N
Vilankulo Airport,VNX
Alphonse Airport,\N
Desroches Airport,DES
Farquhar Airport,\N
Seychelles International Airport,SEZ
Praslin Airport,PRI
Coetivy Airport,\N
Abeche Airport,AEH
Moundou Airport,MQQ
N'Djamena International Airport,NDJ
Faya Largeau Airport,FYT
Joshua Mqabuko Nkomo International Airport,BUQ
Charles Prince Airport,\N
Buffalo Range Airport,BFO
Victoria Falls International Airport,VFA
Harare International Airport,HRE
Kariba International Airport,KAB
Mutoko Airport,\N
Mutare Airport,\N
Masvingo International Airport,MVZ
Zvishavane Airport,\N
Thornhill Air Base,GWE
Hwange National Park Airport,WKM
Chileka International Airport,BLZ
Karonga Airport,KGJ
Kasungu Airport,\N
Lilongwe International Airport,LLW
Mzuzu Airport,ZZU
Moshoeshoe I International Airport,MSU
Mejametalana Airbase,\N
Ndjili International Airport,FIH
Ndolo Airport,NLO
Muanda Airport,MNB
Kitona Base Airport,\N
Bandundu Airport,FDU
Kikwit Airport,KKW
Mbandaka Airport,MDK
Gbadolite Airport,BDT
Gemena Airport,GMA
Kotakoli Airport,\N
Lisala Airport,LIQ
Bangoka International Airport,FKI
Matari Airport,IRP
Bunia Airport,BUX
Buta Zega Airport,\N
Bukavu Kavumu Airport,BKY
Goma International Airport,GOM
Kindu Airport,KND
Lubumbashi International Airport,FBM
Kolwezi Airport,KWZ
Kalemie Airport,FMI
Kamina Base Airport,KMN
Kananga Airport,KGA
Mbuji Mayi Airport,MJM
Senou Airport,BKO
Gao Airport,GAQ
Kayes Dag Dag Airport,KYS
Mopti Airport,MZI
Timbuktu Airport,TOM
Tessalit Airport,\N
Banjul International Airport,BJL
Fuerteventura Airport,FUE
Hierro Airport,VDE
La Palma Airport,SPC
Gran Canaria Airport,LPA
Lanzarote Airport,ACE
Tenerife South Airport,TFS
Tenerife Norte Airport,TFN
Melilla Airport,MLN
Lungi International Airport,FNA
Cufar Airport,\N
Spriggs Payne Airport,MLW
Roberts International Airport,ROB
Al Massira Airport,AGA
Tan Tan Airport,TTA
Saïss Airport,FEZ
Ifrane Airport,\N
Moulay Ali Cherif Airport,ERH
Bassatine Airport,MEK
Angads Airport,OUD
Ben Slimane Airport,\N
Rabat-Salé Airport,RBA
Mohammed V International Airport,CMN
Menara Airport,RAK
Kenitra Airport,NNA
Ouarzazate Airport,OZZ
Cherif Al Idrissi Airport,AHU
Saniat R'mel Airport,TTU
Ibn Batouta Airport,TNG
Ziguinchor Airport,ZIG
Cap Skirring Airport,CSK
Kaolack Airport,KLC
Léopold Sédar Senghor International Airport,DKR
Saint Louis Airport,XLS
Bakel Airport,BXE
Kédougou Airport,KGG
Tambacounda Airport,TUD
Aioun el Atrouss Airport,IEO
Tidjikja Airport,TIY
Kiffa Airport,KFA
Néma Airport,EMN
Kaédi Airport,KED
Nouakchott International Airport,NKC
Sélibaby Airport,SEY
Atar International Airport,ATR
Nouadhibou International Airport,NDB
Bir Moghrein Airport,\N
Fria Airport,FIG
Faranah Airport,FAA
Tata Airport,LEK
Amílcar Cabral International Airport,SID
Rabil Airport,BVC
Maio Airport,MMO
Preguiça Airport,SNE
São Pedro Airport,VXE
Addis Ababa Bole International Airport,ADD
Lideta Army Airport,\N
Arba Minch Airport,AMH
Axum Airport,AXU
Bahir Dar Airport,BJR
Aba Tenna Dejazmach Yilma International Airport,DIR
Gambella Airport,GMB
Gonder Airport,GDQ
Jimma Airport,JIM
Lalibella Airport,LLI
Mekele Airport,MQX
Asosa Airport,ASO
Bujumbura International Airport,BJM
Egal International Airport,HGA
Berbera Airport,BBO
Kisimayu Airport,KMU
El Nouzha Airport,ALY
Abu Simbel Airport,ABS
Cairo International Airport,CAI
Cairo West Airport,\N
Hurghada International Airport,HRG
El Gora Airport,EGR
Luxor International Airport,LXR
Mersa Matruh Airport,MUH
Port Said Airport,PSD
St Catherine International Airport,SKV
Aswan International Airport,ASW
El Tor Airport,ELT
Eldoret International Airport,EDL
Kakamega Airport,\N
Kisumu Airport,KIS
Kitale Airport,KTL
Lodwar Airport,LOK
Manda Airstrip,LAU
Mombasa Moi International Airport,MBA
Naivasha Airport,\N
Nairobi Wilson Airport,WIL
Moi Air Base,\N
Wajir Airport,WJR
Bu Attifel Airport,\N
Warehouse 59e Airport,\N
Ghat Airport,GHT
Kufra Airport,AKF
Benina International Airport,BEN
Sabha Airport,SEB
Tripoli International Airport,TIP
Marsa Brega Airport,\N
Ras Lanuf Oil Airport,\N
Hon Airport,\N
Dahra Airport,\N
Ghadames East Airport,LTD
Zella 74 Airport,\N
Gisenyi Airport,GYI
Kigali International Airport,KGL
Kamembe Airport,KME
Dongola Airport,DOG
Damazin Airport,\N
El Fasher Airport,ELF
Kassala Airport,KSL
Kadugli Airport,\N
El Obeid Airport,EBD
Juba International Airport,JUB
Malakal Airport,MAK
Khartoum International Airport,KRT
Arusha Airport,ARK
Julius Nyerere International Airport,DAR
Dodoma Airport,DOD
Iringa Airport,IRI
Kilimanjaro International Airport,JRO
Lake Manyara Airport,LKY
Mtwara Airport,MYW
Mwanza Airport,MWZ
Pemba Airport,PMA
Tanga Airport,TGT
Abeid Amani Karume International Airport,ZNZ
Entebbe International Airport,EBB
Soroti Airport,SRT
Tirana International Airport Mother Teresa,TIA
Burgas Airport,BOJ
Gorna Oryahovitsa Airport,GOZ
Plovdiv International Airport,PDV
Sofia Airport,SOF
Stara Zagora Airport,\N
Varna Airport,VAR
Larnaca International Airport,LCA
Paphos International Airport,PFO
RAF Akrotiri,AKT
Dubrovnik Airport,DBV
Osijek-Čepin Airfield,\N
Osijek Airport,OSI
Pula Airport,PUY
Grobnicko Polje Airport,\N
Rijeka Airport,RJK
Split Airport,SPU
Varaždin Airport,\N
Zagreb Airport,ZAG
Zemunik Airport,ZAD
Udbina Air Base,\N
Albacete-Los Llanos Airport,\N
Alicante International Airport,ALC
Almería International Airport,LEI
Asturias Airport,OVD
Córdoba Airport,ODB
Bilbao Airport,BIO
Barcelona International Airport,BCN
Badajoz Airport,BJZ
A Coruña Airport,LCG
Armilla Air Base,\N
Girona Airport,GRO
Federico Garcia Lorca Airport,GRX
Getafe Air Base,\N
Ibiza Airport,IBZ
Jerez Airport,XRY
San Javier Airport,MJV
Adolfo Suárez Madrid–Barajas Airport,MAD
Málaga Airport,AGP
Menorca Airport,MAH
Moron Air Base,OZP
Ocaña Airport,\N
Pamplona Airport,PNA
Alcantarilla Air Base,\N
Reus Air Base,REU
Rota Naval Station Airport,\N
Salamanca Airport,SLM
Son Bonet Airport,\N
San Luis Airport,\N
San Sebastian Airport,EAS
Santiago de Compostela Airport,SCQ
Pirineus - la Seu d'Urgel Airport,LEU
Torrejón Airport,TOJ
Valencia Airport,VLC
Valladolid Airport,VLL
Vitoria/Foronda Airport,VIT
Vigo Airport,VGO
Santander Airport,SDR
Zaragoza Air Base,ZAZ
Sevilla Airport,SVQ
Calais-Dunkerque Airport,CQF
Péronne-Saint-Quentin Airport,\N
Nangis-Les Loges Airport,\N
Bagnoles-de-l'Orne-Couterne Airport,\N
Albert-Bray Airport,\N
Le Touquet-Côte d'Opale Airport,LTQ
Valenciennes-Denain Airport,\N
Amiens-Glisy Airport,\N
Agen-La Garenne Airport,AGF
Cazaux (BA 120) Air Base,\N
Bordeaux-Mérignac Airport,BOD
Bergerac-Roumanière Airport,EGC
Toulouse-Francazal (BA 101) Air Base,\N
Cognac-Châteaubernard (BA 709) Air Base,CNG
Poitiers-Biard Airport,PIS
Montluçon-Guéret Airport,MCU
Limoges Airport,LIG
Mont-de-Marsan (BA 118) Air Base,\N
Niort-Souché Airport,NIT
Toulouse-Blagnac Airport,TLS
Pau Pyrénées Airport,PUF
Muret-Lherm Airport,\N
Tarbes-Lourdes-Pyrénées Airport,LDE
Angoulême-Brie-Champniers Airport,ANG
Toul Rosières Air Base,BVE
Périgueux-Bassillac Airport,PGX
Biarritz-Anglet-Bayonne Airport,BIQ
Cahors-Lalbenque Airport,\N
Saint-Girons-Antichan Airport,\N
Arcachon-La Teste-de-Buch Airport,XAC
Albi-Le Séquestre Airport,LBI
Castres-Mazamet Airport,DCM
Toulouse-Lasbordes Airport,\N
Millau-Larzac Airport,\N
Graulhet-Montdragon Airport,\N
Rodez-Marcillac Airport,RDZ
Ussel-Thalamy Airport,\N
Villeneuve-sur-Lot Airport,\N
Royan-Médis Airport,RYN
Mimizan Airport,\N
Aire-sur-l'Adour Airport,\N
Montauban Airport,\N
Auch-Lamothe Airport,\N
Libourne-Artigues-de-Lussac Airport,\N
Pamiers-Les Pujols Airport,\N
Marmande-Virazeil Airport,\N
Rochefort-Saint-Agnant (BA 721) Airport,RCO
Pontivy Airport,\N
Aubigny-sur-Nère Airport,\N
Guiscriff Scaer Airport,\N
Ancenis Airport,\N
Brienne-le-Château Airport,\N
Colmar-Houssen Airport,CMR
Beaune-Challanges Airport,\N
Dole-Tavaux Airport,DLE
Joigny Airport,\N
Verdun-Le Rozelier Airfield,\N
Aubenas-Ardèche Méridional Airport,OBS
Le Puy-Loudes Airport,LPY
Saint-Flour-Coltines Airport,\N
Bourg-Ceyzériat Airport,XBK
Villefranche-Tarare Airport,XVF
Moulins-Montbeugny Airport,XMU
Saint-Affrique-Belmont Airport,\N
Cassagnes-Bégonhès Airport,\N
Metz-Nancy-Lorraine Airport,ETZ
Bastia-Poretta Airport,BIA
Calvi-Sainte-Catherine Airport,CLY
Figari Sud-Corse Airport,FSC
Ajaccio-Napoléon Bonaparte Airport,AJA
Propriano Airport,\N
Solenzara (BA 126) Air Base,SOZ
Corte Airport,\N
Auxerre-Branches Airport,AUF
Chambéry-Savoie Airport,CMF
Clermont-Ferrand Auvergne Airport,CFE
Bourges Airport,BOU
Chambéry-Challes-les-Eaux Airport,\N
Chalon-Champforgeuil Airport,XCD
Annemasse Airport,QNJ
Lyon Saint-Exupéry Airport,LYS
Mâcon-Charnay Airport,QNX
Saint-Yan Airport,\N
Roanne-Renaison Airport,RNE
Annecy-Haute-Savoie-Mont Blanc Airport,NCY
Grenoble-Isère Airport,GNB
Montluçon-Domérat Airport,\N
Valence-Chabeuil Airport,VAF
Vichy-Charmeil Airport,VHY
Aurillac Airport,AUR
Châteauroux-Déols \Marcel Dassault\ Airport,CHR
Lyon-Bron Airport,LYN
Aix-en-Provence (BA 114) Airport,QXB
Le Luc-Le Cannet Airport,\N
Cannes-Mandelieu Airport,CEQ
Saint-Étienne-Bouthéon Airport,EBU
Istres Le Tubé/Istres Air Base (BA 125) Airport,\N
Carcassonne Airport,CCF
Marseille Provence Airport,MRS
Nice-Côte d'Azur Airport,NCE
Orange-Caritat (BA 115) Air Base,\N
Perpignan-Rivesaltes (Llabanère) Airport,PGF
Le Castellet Airport,CTT
Alès-Deaux Airport,\N
Montpellier-Méditerranée Airport,MPL
Béziers-Vias Airport,BZR
Avignon-Caumont Airport,AVN
Salon-de-Provence (BA 701) Air Base,\N
Lézignan-Corbières Airport,\N
Mende-Brenoux Airport,MEN
Carpentras Airport,\N
Avord (BA 702) Air Base,\N
Paris Beauvais Tillé Airport,BVA
Châteaudun (BA 279) Air Base,\N
Saumur-Saint-Florent Airport,\N
Évreux-Fauville (BA 105) Air Base,\N
Le Havre Octeville Airport,LEH
Abbeville,\N
Orléans-Bricy (BA 123) Air Base,ORE
Châlons-Vatry Air Base,XCR
Rouen Airport,URO
Tours-Val-de-Loire Airport,TUF
Cholet Le Pontreau Airport,CET
Laval-Entrammes Airport,LVA
Orléans-Saint-Denis-de-l'Hôtel Airport,\N
Paris-Le Bourget Airport,LBG
Creil Air Base,CSF
Charles de Gaulle International Airport,CDG
Coulommiers-Voisins Airport,\N
Melun-Villaroche Air Base,\N
Toussus-le-Noble Airport,TNF
Paris-Orly Airport,ORY
Pontoise - Cormeilles-en-Vexin Airport,POX
Villacoublay-Vélizy (BA 107) Air Base,\N
Reims-Prunay Airport,\N
Troyes-Barberey Airport,QYR
Lunéville-Croismare Airport,\N
Étain-Rouvres Air Base,\N
Autun-Bellevue Airport,\N
Nevers-Fourchambault Airport,NVS
Cambrai-Épinoy (BA 103) Air Base,\N
Maubeuge-Élesmes Airport,\N
Besançon-La Vèze Airport,\N
Phalsbourg-Bourscheid Air Base,\N
Lille-Lesquin Airport,LIL
Merville-Calonne Airport,\N
Charleville-Mézières Airport,\N
Vesoul-Frotey Airport,\N
Brest Bretagne Airport,BES
Cherbourg-Maupertus Airport,CER
Dinard-Pleurtuit-Saint-Malo Airport,DNR
La Baule-Escoublac Airport,\N
Granville Airport,GFR
Deauville-Saint-Gatien Airport,DOL
Lorient South Brittany (Bretagne Sud) Airport,LRT
La Roche-sur-Yon Airport,EDM
Landivisiau Air Base,\N
Caen-Carpiquet Airport,CFR
Lanvéoc-Poulmic Air Base,\N
Le Mans-Arnage Airport,LME
Rennes-Saint-Jacques Airport,RNS
Lannion-Côte de Granit Airport,LAI
Quimper-Cornouaille Airport,UIP
Nantes Atlantique Airport,NTE
Saint-Brieuc-Armor Airport,SBK
Morlaix-Ploujean Airport,MXN
Vannes-Meucon Airport,VNE
Saint-Nazaire-Montoir Airport,SNR
EuroAirport Basel-Mulhouse-Freiburg Airport,BSL
Colmar-Meyenheim Air Base,\N
Dijon-Bourgogne Airport,DIJ
Metz-Frescaty (BA 128) Air Base,MZM
Épinal-Mirecourt Airport,EPL
Haguenau Airport,\N
Saint-Dizier-Robinson (BA 113) Air Base,\N
Montbéliard-Courcelles Airfield,\N
Nancy-Essey Airport,ENC
Nancy-Ochey (BA 133) Air Base,\N
Pontarlier Airport,\N
Reims-Champagne (BA 112) Air Base,RHE
Strasbourg Airport,SXB
Luxeuil-Saint-Sauveur (BA 116) Air Base,\N
Cuers-Pierrefeu Airport,\N
Toulon-Hyères Airport,TLN
Nîmes-Arles-Camargue Airport,FNI
Miquelon Airport,MQC
St Pierre Airport,FSP
Ambérieu Air Base (BA 278),\N
Damblain Airport,\N
Andravida Air Base,PYR
Agrinion Air Base,AGQ
Dimokritos Airport,AXD
Alexandria Airport,\N
Nea Anchialos Airport,VOL
Elefsis Airport,\N
Chios Island National Airport,JKH
Ioannina Airport,IOA
Heraklion International Nikos Kazantzakis Airport,HER
Kastoria National Airport,KSO
Kithira Airport,KIT
Kefallinia Airport,EFL
Kalamata Airport,KLX
Amigdhaleon Airport,\N
Kos Airport,KGS
Karpathos Airport,AOK
Ioannis Kapodistrias International Airport,CFU
Kasos Airport,KSJ
Alexander the Great International Airport,KVA
Filippos Airport,KZI
Leros Airport,LRS
Limnos Airport,LXS
Larisa Airport,LRA
Megara Airport,\N
Mikonos Airport,JMK
Mytilene International Airport,MJT
Aktion National Airport,PVK
Maritsa Airport,\N
Diagoras Airport,RHO
Araxos Airport,GPA
Chania International Airport,CHQ
Skiathos Island National Airport,JSI
Samos Airport,SMI
Sparti Airport,\N
Santorini Airport,JTR
Sitia Airport,JSH
Stefanovikion Air Base,\N
Skiros Airport,SKU
Tanagra Air Base,\N
Kasteli Airport,\N
Tripolis Airport,\N
Thessaloniki Macedonia International Airport,SKG
Tatoi Airport,\N
Dionysios Solomos Airport,ZTH
Budapest Ferenc Liszt International Airport,BUD
Debrecen International Airport,DEB
Kecskemét Airport,\N
Nyíregyháza Airport,\N
Őcsény Airport,\N
Szentkirályszabadja Airport,\N
Szolnok Airport,\N
Amendola Air Base,\N
Crotone Airport,CRV
Bari Karol Wojtyła Airport,BRI
Foggia \Gino Lisa\ Airport,FOG
Taranto-Grottaglie \Marcello Arlotta\ Airport,TAR
Lecce Galatina Air Base,LCC
Pescara International Airport,PSR
Brindisi – Salento Airport,BDS
Gioia Del Colle Air Base,\N
Lamezia Terme Airport,SUF
Catania-Fontanarossa Airport,CTA
Lampedusa Airport,LMP
Pantelleria Airport,PNL
Falcone–Borsellino Airport,PMO
Palermo-Boccadifalco Airport,\N
Reggio Calabria Airport,REG
Vincenzo Florio Airport Trapani-Birgi,TPS
Sigonella Navy Air Base,NSY
Alghero-Fertilia Airport,AHO
Decimomannu Air Base,DCI
Cagliari Elmas Airport,CAG
Olbia Costa Smeralda Airport,OLB
Tortolì Airport,TTB
Torino-Aeritalia Airport,\N
Milano-Bresso Airport,\N
Malpensa International Airport,MXP
Il Caravaggio International Airport,BGY
Turin Airport,TRN
Villanova D'Albenga International Airport,ALL
Genoa Cristoforo Colombo Airport,GOA
Milano Linate Airport,LIN
Cameri Air Base [MIL],\N
Parma Airport,PMF
Piacenza San Damiano Air Base,QPZ
Cuneo International Airport,CUF
Aviano Air Base,AVB
Bolzano Airport,BZO
Cervia Air Base,\N
Bologna Guglielmo Marconi Airport,BLQ
Treviso-Sant'Angelo Airport,TSF
Rivolto Air Base,\N
Forlì Airport,FRL
Ghedi Air Base,\N
Verona-Boscomantico Airport,\N
Brescia Airport,VBS
Trieste–Friuli Venezia Giulia Airport,TRS
Federico Fellini International Airport,RMI
Istrana Air Base,\N
Vicenza Airport,VIC
Padova Airport,QPA
Verona Villafranca Airport,VRN
Venice Marco Polo Airport,VCE
Siena-Ampugnano Airport,SAY
Ciampino–G. B. Pastine International Airport,CIA
Pratica Di Mare Air Base,\N
Leonardo da Vinci–Fiumicino Airport,FCO
Guidonia Air Base,\N
Marina Di Campo Airport,EBA
Latina Air Base,QLT
Grazzanise Airport,\N
Naples International Airport,NAP
Pisa International Airport,PSA
Peretola Airport,FLR
Grosseto Air Base,GRS
Urbe Airport,\N
Viterbo Airport,\N
Perugia San Francesco d'Assisi – Umbria International Airport,PEG
Cerklje Airport,\N
Ljubljana Jože Pučnik Airport,LJU
Maribor Airport,MBX
Portoroz Airport,POW
Slovenj Gradec Airport,\N
České Budějovice Airport,\N
Čáslav Air Base,\N
Hradec Králové Airport,\N
Hořovice Airport,\N
Kbely Air Base,\N
Kunovice Airport,\N
Karlovy Vary International Airport,KLV
Plzeň-Líně Airport,\N
Mnichovo Hradiště Airport,\N
Ostrava Leos Janáček Airport,OSR
Náměšť Air Base,\N
Pardubice Airport,PED
Pribram Airport,\N
Přerov Air Base,PRV
Václav Havel Airport Prague,PRG
Brno-Tuřany Airport,BRQ
Vodochody Airport,\N
Ben Gurion International Airport,TLV
Beersheba (Teyman) Airport,BEV
Tel Nof Air Base,\N
Ein Shemer Airfield,\N
Eilat Airport,ETH
Ein Yahav Airfield,\N
Haifa International Airport,HFA
Hatzor Air Base,\N
Ben Ya'akov Airport,RPN
Megiddo Airport,\N
Bar Yehuda Airfield,\N
Nevatim Air Base,\N
Ovda International Airport,VDA
Ramat David Air Base,\N
Ramon Air Base,\N
Sde Dov Airport,SDV
Malta International Airport,MLA
Wiener Neustadt East Airport,\N
Wels Airport,\N
Graz Airport,GRZ
Innsbruck Airport,INN
Linz Hörsching Airport,LNZ
Salzburg Airport,SZG
Vienna International Airport,VIE
Hinterstoisser Air Base,\N
Alverca Airport,\N
Santa Maria Airport,SMA
Bragança Airport,BGC
Beja International Airport,\N
Braga Municipal Aerodrome,\N
Coimbra Airport,\N
Cascais Airport,\N
Covilhã Airport,\N
Évora Airport,\N
Flores Airport,FLW
Faro Airport,FAO
Graciosa Airport,GRW
Horta Airport,HOR
Lajes Field,TER
Monte Real Air Base,\N
Montijo Airport,\N
Ovar Airport,\N
João Paulo II Airport,PDL
Pico Airport,PIX
Portimão Airport,\N
Francisco de Sá Carneiro Airport,OPO
Porto Santo Airport,PXO
Lisbon Portela Airport,LIS
São Jorge Airport,SJZ
Sintra Airport,\N
Tancos Airbase,\N
Vila Real Airport,VRL
Viseu Airport,\N
Mostar International Airport,OMO
Sarajevo International Airport,SJJ
Arad International Airport,ARW
Bacău Airport,BCM
Tautii Magheraus Airport,BAY
Băneasa International Airport,BBU
Mihail Kogălniceanu International Airport,CND
Cluj-Napoca International Airport,CLJ
Caransebeş Airport,CSB
Craiova Airport,CRA
Iaşi Airport,IAS
Oradea International Airport,OMR
Henri Coandă International Airport,OTP
Sibiu International Airport,SBZ
Satu Mare Airport,SUJ
Suceava Stefan cel Mare Airport,SCV
Tulcea Airport,TCE
Transilvania Târgu Mureş International Airport,TGM
Timişoara Traian Vuia Airport,TSR
Les Eplatures Airport,\N
Geneva Cointrin International Airport,GVA
Saanen Airport,\N
Sion Airport,SIR
Alpnach Air Base,\N
Dübendorf Air Base,\N
Emmen Air Base,EML
Mollis Airport,\N
Meiringen Airport,\N
Payerne Air Base,\N
Lugano Airport,LUG
Bern Belp Airport,BRN
Grenchen Airport,\N
Zürich Airport,ZRH
St Gallen Altenrhein Airport,ACH
Samedan Airport,SMV
Güvercinlik Airport,\N
Esenboğa International Airport,ESB
Etimesgut Air Base,ANK
Akıncı Air Base,\N
Adana Airport,ADA
İncirlik Air Base,UAB
Afyon Airport,AFY
Antalya International Airport,AYT
Gaziantep International Airport,GZT
İskenderun Airport,\N
Konya Airport,KYA
Malatya Tulga Airport,MLX
Amasya Merzifon Airport,MZH
Sivas Nuri Demirağ Airport,VAS
Malatya Erhaç Airport,\N
Kayseri Erkilet Airport,ASR
Sivrihisar Airport,\N
Tokat Airport,\N
Çardak Airport,DNZ
Atatürk International Airport,IST
Balıkesir Merkez Airport,BZI
Bandırma Airport,BDM
Eskişehir Air Base,ESK
Adnan Menderes International Airport,ADB
Gaziemir Airport,\N
Çiğli Airport,IGL
Isparta Airport,\N
Kütahya Airport,\N
Yalova Airport,\N
Cengiz Topel Airport,\N
Dalaman International Airport,DLM
Akhisar Airport,\N
Imsık Airport,BXN
Samandıra Air Base,\N
Elazığ Airport,EZS
Diyarbakir Airport,DIY
Erzincan Airport,ERC
Erzurum International Airport,ERZ
Trabzon International Airport,TZX
Van Ferit Melen Airport,VAN
Batman Airport,BAL
Siirt Airport,\N
Kaklıç Airport,\N
Selçuk Efes Airport,\N
Balti International Airport,BZY
Chişinău International Airport,KIV
Ohrid St. Paul the Apostle Airport,OHD
Skopje Alexander the Great Airport,SKP
Gibraltar Airport,GIB
Belgrade Nikola Tesla Airport,BEG
Nis Airport,INI
Podgorica Airport,TGD
Priština International Airport,PRN
Tivat Airport,TIV
Vršac International Airport,\N
M. R. Štefánik Airport,BTS
Košice Airport,KSC
Kuchyňa Air Base,\N
Piešťany Airport,PZY
Sliač Airport,SLD
Trenčín Airport,\N
Poprad-Tatry Airport,TAT
North Caicos Airport,NCA
Providenciales Airport,PLS
South Caicos Airport,XSC
Arroyo Barril Airport,EPS
Maria Montez International Airport,BRX
Cabo Rojo Airport,\N
Casa De Campo International Airport,LRM
Punta Cana International Airport,PUJ
Gregorio Luperon International Airport,POP
Las Américas International Airport,SDQ
San Isidro Air Base,\N
Cibao International Airport,STI
Bananera Airport,\N
Coban Airport,CBV
La Aurora Airport,GUA
Retalhuleu Airport,\N
San José Airport,\N
Goloson International Airport,LCE
Ramón Villeda Morales International Airport,SAP
La Laguna Airport,GJA
Juan Manuel Galvez International Airport,RTB
Tela Airport,TEA
Toncontín International Airport,TGU
Trujillo Airport,\N
Boscobel Aerodrome,OCJ
Norman Manley International Airport,KIN
Sangster International Airport,MBJ
Ken Jones Airport,POT
Tinson Pen Airport,KTP
General Juan N Alvarez International Airport,ACA
Del Norte International Airport,NTR
Jesús Terán Paredo International Airport,AGU
Bahías de Huatulco International Airport,HUX
General Mariano Matamoros Airport,CVJ
Ciudad Acuña New International Airport,\N
Ciudad del Carmen International Airport,CME
Nuevo Casas Grandes Airport,\N
Chilpancingo Airport,\N
Bachigualato Federal International Airport,CUL
Chetumal International Airport,CTM
Ciudad Obregón International Airport,CEN
Ingeniero Alberto Acuña Ongay International Airport,CPE
